what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1262584834266
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1262584834266
os,sysinfo,,,"macosx",1262584834269
arch,sysinfo,,,"x86_64",1262584834269
ws,sysinfo,,,"cocoa",1262584834269
locale,sysinfo,,,"en_US",1262584834269
processors,sysinfo,,,"2",1262584834269
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1262584834269
java.runtime.version,sysinfo,,,"1.6.0_17-b04-248-10M3025",1262584834269
java.specification.name,sysinfo,,,"Java Platform API Specification",1262584834269
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262584834269
java.specification.version,sysinfo,,,"1.6",1262584834269
java.vendor,sysinfo,,,"Apple Inc.",1262584834269
java.version,sysinfo,,,"1.6.0_17",1262584834269
java.vm.info,sysinfo,,,"mixed mode",1262584834269
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1262584834269
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1262584834269
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262584834269
java.vm.specification.version,sysinfo,,,"1.0",1262584834269
java.vm.vendor,sysinfo,,,"Apple Inc.",1262584834269
java.vm.version,sysinfo,,,"14.3-b01-101",1262584834269
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262584835327
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262584835346
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1262584835357
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262584849817
